Make,Model,Logo,janv-12,Feb 2012,mars-12,Apr 2012,May 2012,juin-12,juil-12,Aug 2012,sept-12,oct-12,nov-12,Dec 2012,janv-13,Feb 2013,mars-13,Apr 2013,May 2013,juin-13,juil-13,Aug 2013,sept-13,oct-13,nov-13,Dec 2013,janv-14,Feb 2014,mars-14,Apr 2014,May 2014,juin-14,juil-14,Aug 2014,sept-14,oct-14,nov-14,Dec 2014,janv-15,Feb 2015,mars-15,Apr 2015,May 2015,juin-15,juil-15,Aug 2015,sept-15,oct-15,nov-15,Dec 2015,janv-16,Feb 2016,mars-16,Apr 2016,May 2016,juin-16,juil-16,Aug 2016,sept-16,oct-16,nov-16,Dec 2016,janv-17,Feb 2017,mars-17,Apr 2017,May 2017,juin-17,juil-17,Aug 2017,sept-17,oct-17,nov-17,Dec 2017,janv-18,Feb 2018,mars-18,Apr 2018,May 2018,juin-18,juil-18,Aug 2018,sept-18,oct-18,nov-18,Dec 2018,janv-19,Feb 2019,mars-19,Apr 2019,May 2019,juin-19,juil-19,Aug 2019,sept-19,oct-19,nov-19,Dec 2019
Chevrolet,Volt,https://www.carlogos.org/logo/Chevrolet-logo-2013-2560x1440.png,603.0,1626.0,3915.0,5377.0,7057.0,8817.0,10666.0,13497.0,16348.0,19309.0,20828.0,23461.0,24601.0,26227.0,27705.0,29011.0,30618.0,33316.0,35104.0,38455.0,40221.0,42243.0,44163.0,46555.0,47473.0,48683.0,50161.0,51709.0,53393.0,55170.0,57190.0,59701.0,61095.0,62534.0,63870.0,65360.0,65902.0,66595.0,67234.0,68139.0,69757.0,70982.0,72295.0,73675.0,74624.0,76659.0,78639.0,80753.0,81749.0,82875.0,84740.0,86723.0,88624.0,90561.0,92967.0,95048.0,97079.0,99270.0,101801.0,105492.0,107103.0,108923.0,111055.0,112862.0,114679.0,116424.0,117942.0,119387.0,120840.0,122202.0,123904.0,125841.0,126554.0,127537.0,129319.0,130644.0,132319.0,133655.0,135130.0,136955.0,139084.0,140559.0,143089.0,144147.0,144822.0,145437.0,146667.0,147072.0,"147,48","147,813","148,063","148,337","148,687","148,757","148,907","149,057"
Toyota,Prius PHV,https://www.carlogos.org/logo/Toyota-logo-1989-2560x1440.png,0.0,21.0,912.0,2566.0,3652.0,4347.0,5035.0,6082.0,7734.0,9623.0,11389.0,12750.0,13624.0,14317.0,15103.0,15702.0,16380.0,16964.0,17781.0,19572.0,20724.0,22819.0,23919.0,24838.0,25641.0,26682.0,28134.0,29875.0,32567.0,34138.0,35509.0,36327.0,36680.0,37159.0,37610.0,38102.0,38503.0,38900.0,39373.0,39801.0,40528.0,40992.0,41576.0,41920.0,42136.0,42227.0,42271.0,42293.0,42303.0,42309.0,42316.0,42320.0,42324.0,42335.0,42339.0,42341.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345.0,42345,42345,42345,42345,42345,42345,42345,42345
Nissan,Leaf,https://www.carlogos.org/logo/Nissan-logo-2013-1440x900.png,676.0,1154.0,1733.0,2103.0,2613.0,3148.0,3543.0,4228.0,5212.0,6791.0,8330.0,9819.0,10469.0,11122.0,13358.0,15295.0,17433.0,19658.0,21522.0,23942.0,25895.0,27897.0,29900.0,32429.0,33681.0,35106.0,37613.0,39701.0,42818.0,45165.0,48184.0,51370.0,54251.0,56840.0,59527.0,62629.0,63699.0,64897.0,66714.0,68267.0,70371.0,72445.0,73619.0,75012.0,76259.0,77497.0,78551.0,79898.0,80653.0,81583.0,82829.0,83616.0,84595.0,85691.0,86754.0,87820.0,89136.0,90548.0,92005.0,93904.0,94676.0,95713.0,97191.0,98254.0,99646.0,101152.0,102435.0,103589.0,104644.0,104857.0,105032.0,105134.0,105284.0,106179.0,107679.0,108850.0,110426.0,111793.0,112942.0,114257.0,115820.0,117054.0,118182.0,119849.0,120566.0,121220.0,122534.0,123485.0,"124,701","125,857","126,795","127,912","128,96","129,847","130,987","132,214"
Tesla,Model S,https://www.carlogos.org/logo/Tesla-logo-2003-2500x2500.png,0.0,,,,,12.0,31.0,74.0,160.0,460.0,860.0,2650.0,3850.0,5250.0,7550.0,9650.0,11350.0,12700.0,14000.0,15300.0,16800.0,17600.0,18800.0,20300.0,21100.0,22189.0,23489.0,24589.0,25589.0,27089.0,27889.0,28489.0,30989.0,32289.0,33489.0,36989.0,38089.0,39239.0,41689.0,43389.0,45789.0,48589.0,50189.0,51489.0,53989.0,55889.0,58591.0,62191.0,63041.0,64591.0,68581.0,69381.0,70581.0,74281.0,76235.0,79087.0,83437.0,84137.0,85237.0,91087.0,91987.0,93737.0,97187.0,98312.0,99932.0,102282.0,103707.0,105857.0,110717.0,111837.0,113172.0,118147.0,118947.0,120072.0,123447.0,124697.0,126217.0,128967.0,130167.0,132792.0,136542.0,137892.0,140642.0,143892.0,144617.0,145242.0,147517.0,148342.0,"149,367","151,117","152,092","153,142","154,242","154,992","156,492","157,992"
Ford,C-Max Energi,https://www.carlogos.org/logo/Ford-logo-2003-1366x768.png,0.0,,,,,,,,,144.0,1403.0,2374.0,2712.0,3046.0,3540.0,3951.0,4401.0,4856.0,5289.0,5910.0,6668.0,7760.0,8701.0,9528.0,9999.0,10551.0,11161.0,11686.0,12468.0,13456.0,14287.0,15337.0,16014.0,16658.0,17302.0,17961.0,18356.0,18854.0,19569.0,20122.0,20837.0,21504.0,22197.0,22920.0,23639.0,24334.0,24973.0,25552.0,25902.0,26392.0,27002.0,27609.0,28147.0,28777.0,29532.0,30239.0,30928.0,31499.0,32220.0,33509.0,33982.0,34621.0,35283.0,36003.0,36953.0,37889.0,38733.0,39438.0,40121.0,40690.0,41213.0,41649.0,41883.0,42025.0,42130.0,42187.0,42205.0,42211.0,42215.0,42219.0,42231.0,42231.0,42231.0,42231.0,42231.0,42231.0,42231.0,42231.0,42231,42231,42231,42231,42231,42231,42231,42231
Ford,Focus Electric,https://www.carlogos.org/logo/Ford-logo-2003-1366x768.png,2.0,2.0,2.0,2.0,8.0,97.0,135.0,169.0,228.0,346.0,518.0,680.0,761.0,919.0,1099.0,1246.0,1403.0,1580.0,1730.0,1905.0,2015.0,2130.0,2260.0,2418.0,2518.0,2647.0,2824.0,2940.0,3117.0,3314.0,3512.0,3776.0,3952.0,4138.0,4329.0,4382.0,4467.0,4612.0,4752.0,4876.0,5041.0,5193.0,5328.0,5504.0,5649.0,5775.0,5868.0,5964.0,6030.0,6111.0,6221.0,6302.0,6356.0,6410.0,6468.0,6543.0,6625.0,6698.0,6764.0,6865.0,6921.0,7149.0,7556.0,7681.0,7813.0,7923.0,8071.0,8202.0,8333.0,8448.0,8569.0,8682.0,8752.0,8825.0,8962.0,9045.0,9133.0,9183.0,9229.0,9236.0,9240.0,9240.0,9241.0,9242.0,9242.0,9242.0,9242.0,9242.0,9242,9242,9242,9242,9242,9242,9242,9242
Mitsubishi,i-MiEV,https://www.carlogos.org/logo/Mitsubishi-logo-2000x2500.png,36.0,80.0,136.0,215.0,300.0,333.0,366.0,403.0,439.0,469.0,511.0,588.0,845.0,1182.0,1213.0,1340.0,1431.0,1470.0,1516.0,1546.0,1566.0,1594.0,1606.0,1617.0,1618.0,1621.0,1645.0,1657.0,1692.0,1714.0,1731.0,1751.0,1766.0,1783.0,1801.0,1813.0,1816.0,1818.0,1828.0,1844.0,1862.0,1885.0,1897.0,1903.0,1906.0,1915.0,1919.0,1928.0,1930.0,1935.0,1936.0,1942.0,1944.0,1948.0,1968.0,1993.0,2010.0,2014.0,2019.0,2022.0,2023.0,2026.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028,2028,2028,2028,2028,2028,2028,2028
Toyota,Rav4 EV,https://www.carlogos.org/logo/Toyota-logo-1989-2560x1440.png,0.0,,,,,,,,61.0,108.0,140.0,192.0,217.0,269.0,402.0,472.0,556.0,600.0,709.0,940.0,1107.0,1198.0,1260.0,1288.0,1351.0,1452.0,1525.0,1594.0,1743.0,1834.0,1902.0,2130.0,2255.0,2352.0,2435.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472,2472,2472,2472,2472,2472,2472,2472
Honda,Fit EV,https://www.carlogos.org/logo/Honda-logo-1920x1080.png,0.0,,,,,,7.0,16.0,32.0,48.0,74.0,93.0,101.0,116.0,139.0,161.0,176.0,384.0,447.0,513.0,548.0,588.0,611.0,662.0,692.0,725.0,762.0,812.0,845.0,883.0,925.0,980.0,1009.0,1032.0,1037.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069,1069,1069,1069,1069,1069,1069,1069
Ford,Fusion Energi,https://www.carlogos.org/logo/Ford-logo-2003-1366x768.png,0.0,,,,,,,,,,,,,119.0,414.0,778.0,1194.0,1584.0,1991.0,2591.0,3341.0,4428.0,5298.0,6089.0,6622.0,7401.0,8300.0,9043.0,10385.0,12324.0,13550.0,14772.0,15412.0,16098.0,16850.0,17639.0,18065.0,18668.0,19505.0,20216.0,21202.0,21929.0,22781.0,23730.0,24538.0,25387.0,26331.0,27389.0,27970.0,28902.0,30140.0,31471.0,32924.0,34624.0,35965.0,37387.0,39039.0,40411.0,42228.0,43327.0,43933.0,44770.0,45772.0,46677.0,47677.0,48384.0,49087.0,49849.0,50612.0,51353.0,52084.0,52959.0,53599.0,54393.0,55175.0,55917.0,56657.0,57261.0,57783.0,58179.0,58659.0,59112.0,60243.0,61033.0,61590.0,62163.0,62774.0,63359.0,"63,964","64,639","65,359","65,979","66,679","67,279‬","67,879","68,557"
