region,category,parameter,mode,powertrain,year,unit,value
Australia,Historical,EV stock,Cars,BEV,2011,stock,49
Australia,Historical,EV stock,Cars,BEV,2012,stock,220
Australia,Historical,EV stock,Cars,PHEV,2012,stock,80
Australia,Historical,EV stock,Cars,PHEV,2013,stock,180
Australia,Historical,EV stock,Cars,BEV,2013,stock,410
Australia,Historical,EV stock,Cars,BEV,2014,stock,780
Australia,Historical,EV stock,Cars,PHEV,2014,stock,1100
Australia,Historical,EV stock,Cars,PHEV,2015,stock,2100
Australia,Historical,EV stock,Cars,BEV,2015,stock,1500
Australia,Historical,EV stock,Cars,BEV,2016,stock,2200
Australia,Historical,EV stock,Cars,PHEV,2016,stock,2800
Australia,Historical,EV stock,Cars,PHEV,2017,stock,3900
Australia,Historical,EV stock,Cars,BEV,2017,stock,3400
Australia,Historical,EV stock,Cars,PHEV,2018,stock,5700
Australia,Historical,EV stock,Cars,BEV,2018,stock,5200
Australia,Historical,EV stock,Cars,BEV,2019,stock,12000
Australia,Historical,EV stock,Cars,PHEV,2019,stock,8600
Australia,Historical,EV stock,Cars,PHEV,2020,stock,10000
Australia,Historical,EV stock,Cars,BEV,2020,stock,17000
Australia,Historical,EV stock,Cars,BEV,2021,stock,34000
Australia,Historical,EV stock,Cars,PHEV,2021,stock,14000
Belgium,Historical,EV stock,Cars,BEV,2010,stock,61
Belgium,Historical,EV stock,Cars,PHEV,2010,stock,9
Belgium,Historical,EV stock,Cars,PHEV,2011,stock,26
Belgium,Historical,EV stock,Cars,BEV,2011,stock,320
Belgium,Historical,EV stock,Cars,BEV,2012,stock,830
Belgium,Historical,EV stock,Cars,PHEV,2012,stock,350
Belgium,Historical,EV stock,Cars,PHEV,2013,stock,590
Belgium,Historical,EV stock,Cars,BEV,2013,stock,1200
Belgium,Historical,EV stock,Cars,BEV,2014,stock,2200
Belgium,Historical,EV stock,Cars,PHEV,2014,stock,1500
Belgium,Historical,EV stock,Cars,PHEV,2015,stock,3800
Belgium,Historical,EV stock,Cars,BEV,2015,stock,3300
Belgium,Historical,EV stock,Cars,BEV,2016,stock,5200
Belgium,Historical,EV stock,Cars,PHEV,2016,stock,11000
Belgium,Historical,EV stock,Cars,PHEV,2017,stock,23000
Belgium,Historical,EV stock,Cars,BEV,2017,stock,7500
Belgium,Historical,EV stock,Cars,BEV,2018,stock,11000
Belgium,Historical,EV stock,Cars,PHEV,2018,stock,33000
Belgium,Historical,EV stock,Cars,PHEV,2019,stock,41000
Belgium,Historical,EV stock,Cars,BEV,2019,stock,19000
Belgium,Historical,EV stock,Cars,BEV,2020,stock,32000
Belgium,Historical,EV stock,Cars,PHEV,2020,stock,73000
Belgium,Historical,EV stock,Cars,PHEV,2021,stock,120000
Belgium,Historical,EV stock,Cars,BEV,2021,stock,52000
Brazil,Historical,EV stock,Cars,BEV,2014,stock,61
Brazil,Historical,EV stock,Cars,BEV,2015,stock,120
Brazil,Historical,EV stock,Cars,PHEV,2015,stock,28
Brazil,Historical,EV stock,Cars,PHEV,2016,stock,75
Brazil,Historical,EV stock,Cars,BEV,2016,stock,250
Brazil,Historical,EV stock,Cars,BEV,2017,stock,320
Brazil,Historical,EV stock,Cars,PHEV,2017,stock,360
Brazil,Historical,EV stock,Cars,PHEV,2018,stock,700
Brazil,Historical,EV stock,Cars,BEV,2018,stock,350
Brazil,Historical,EV stock,Cars,BEV,2019,stock,890
Brazil,Historical,EV stock,Cars,PHEV,2019,stock,2100
Brazil,Historical,EV stock,Cars,PHEV,2020,stock,3800
Brazil,Historical,EV stock,Cars,BEV,2020,stock,1600
Brazil,Historical,EV stock,Cars,BEV,2021,stock,3600
Brazil,Historical,EV stock,Cars,PHEV,2021,stock,9100
Canada,Historical,EV stock,Cars,BEV,2011,stock,220
Canada,Historical,EV stock,Cars,PHEV,2011,stock,300
Canada,Historical,EV stock,Cars,PHEV,2012,stock,1700
Canada,Historical,EV stock,Cars,BEV,2012,stock,840
Canada,Historical,EV stock,Cars,BEV,2013,stock,2500
Canada,Historical,EV stock,Cars,PHEV,2013,stock,3200
Canada,Historical,EV stock,Cars,PHEV,2014,stock,5400
Canada,Historical,EV stock,Cars,BEV,2014,stock,5300
Canada,Historical,EV stock,Cars,BEV,2015,stock,9700
Canada,Historical,EV stock,Cars,PHEV,2015,stock,8000
Canada,Historical,EV stock,Cars,PHEV,2016,stock,14000
Canada,Historical,EV stock,Cars,BEV,2016,stock,15000
Canada,Historical,EV stock,Cars,BEV,2017,stock,24000
Canada,Historical,EV stock,Cars,PHEV,2017,stock,22000
Canada,Historical,EV stock,Cars,PHEV,2018,stock,44000
Canada,Historical,EV stock,Cars,BEV,2018,stock,46000
Canada,Historical,EV stock,Cars,PHEV,2019,stock,62000
Canada,Historical,EV stock,Cars,BEV,2019,stock,79000
Canada,Historical,EV stock,Cars,BEV,2020,stock,130000
Canada,Historical,EV stock,Cars,PHEV,2020,stock,82000
Canada,Historical,EV stock,Cars,PHEV,2021,stock,110000
Canada,Historical,EV stock,Cars,BEV,2021,stock,190000
Chile,Historical,EV stock,Cars,BEV,2011,stock,6
Chile,Historical,EV stock,Cars,BEV,2012,stock,11
Chile,Historical,EV stock,Cars,BEV,2013,stock,16
Chile,Historical,EV stock,Cars,BEV,2014,stock,19
Chile,Historical,EV stock,Cars,PHEV,2014,stock,14
Chile,Historical,EV stock,Cars,PHEV,2015,stock,37
Chile,Historical,EV stock,Cars,BEV,2015,stock,32
Chile,Historical,EV stock,Cars,BEV,2016,stock,54
Chile,Historical,EV stock,Cars,PHEV,2016,stock,46
